id,rating,title,text,date,platform
164,1,"Review","brokerage high",2026-04-21,Android
165,1,"Review","bad",2026-04-21,Android
166,5,"Review","trust app",2026-04-21,Android
167,5,"Review","my dream stocks market trending Groww apps",2026-04-21,Android
168,5,"Review","SBSE BEST APP LEKIN BROKERAGE SBSE HIGH BHI HAI...MTF ME...",2026-04-21,Android
169,5,"Review","not a bad",2026-04-21,Android
170,2,"Review","Be careful； their calculations are wrong on the balance. Not sure whether they are doing this intentionally to lure money.",2026-04-21,Android
171,5,"Review","thik hi",2026-04-21,Android
172,1,"Review","Brokerage fees comparatively high",2026-04-21,Android
173,5,"Review","good",2026-04-21,Android
174,5,"Review","super",2026-04-21,Android
175,5,"Review","very losees but succes",2026-04-21,Android
176,5,"Review","good sIp setting not visible",2026-04-21,Android
177,1,"Review","വളരെ വൃത്തികെട്ട app നമ്മൾ കഷ്ടപ്പെട്ട് ഉണ്ടാകുന്ന ഫ്രോഫിറ്റ് ഫുൾ അവർ തിന്നും... എന്റെ ബാലൻസിൽ ഇപ്പോൾ ഒരു 3000 രൂപ കുറവ് ഉണ്ട്.. അതിനെക്കുറിച്ചു ചോദിച്ചു നോക്കീട്ട് ഒരു Ai എന്തോ പുലമ്പുന്നു... അല്ലാതെ ഒരു കാര്യവും ഇല്ല",2026-04-21,Android
178,5,"Review","good app",2026-04-21,Android
179,5,"Review","good",2026-04-21,Android
180,2,"Review","it's brokerage charge is high even they advertised 0 % delivery charge but actually thay taken charge when you buy delivery stock and sell ； even they say there charge call is 5 to 20 by grow charge but when you sell your delivery stocks they charge more then it； and other charge not included that tax and gov. charge is also add it's and your pfrofit is many time none if you investment little money",2026-04-20,Android
181,3,"Review","good👍",2026-04-20,Android
182,5,"Review","best effortlessly experience",2026-04-20,Android
183,5,"Review","good",2026-04-20,Android
184,1,"Review","worst of the worst experience..not recommended.. Specially on Expiry day",2026-04-20,Android
185,5,"Review","very good working",2026-04-20,Android
186,5,"Review","Excellent",2026-04-20,Android
187,1,"Review","super",2026-04-20,Android
188,5,"Review","Ok",2026-04-20,Android
189,5,"Review","nice",2026-04-20,Android
190,5,"Review","best best best best best platform in the world 🌎🔥💯🥰♥️♥️♥️♥️",2026-04-20,Android
191,5,"Review","good",2026-04-20,Android
192,5,"Review","this is so beautiful aap 😊😊😊😊😊😊",2026-04-20,Android
193,1,"Review","Mtf brokerage charges is high",2026-04-20,Android
194,4,"Review","good",2026-04-20,Android
195,5,"Review","Best Platform",2026-04-20,Android
196,5,"Review","very good app for investing.",2026-04-20,Android
197,5,"Review","Bahut acha app hai 😊 use karne ke liye simple hai or koi hiden charges bhi nahi hai 👌",2026-04-20,Android
198,4,"Review","good 👍",2026-04-20,Android
199,5,"Review","good👍",2026-04-20,Android
200,5,"Review","Good App",2026-04-20,Android
201,1,"Review","worst app don't install this because if you call customer care the minimum wait time they say 5min but it takes 30min wait time still they won't connect customer care instead they cut the call and again same procedure； I think grow don't have customer care service if at all may be 01 or 02 person are handling this sevice so my request to you people please don't install this useless app. I rate 0 star ⭐ out of 10.",2026-04-20,Android
202,1,"Review","I lost my money",2026-04-20,Android
203,5,"Review","great 👍🏻",2026-04-20,Android
204,5,"Review","Very convenient astrology consultation anytime *",2026-04-20,Android
205,5,"Review","v.v good 👍🏻",2026-04-20,Android
206,5,"Review","bahut badhiya app lawab app mere ko achcha Laga Tum sabhi log download karo 🥰🥰",2026-04-20,Android
207,5,"Review","naic Good",2026-04-20,Android
208,5,"Review","so good",2026-04-20,Android
209,1,"Review","this app is worst app I have ever installed . sell order auto-cancels every time it took me 6 to 7 days to sell . if you are in profit then sell order will not be executed and if you are in debt ( loss ) it will be executed instantly brokrage charges and GST are also high you can not make profit from this app atleast . Nill reply from customer service",2026-04-20,Android
210,5,"Review","very useful especially for beginners",2026-04-20,Android
211,5,"Review","good",2026-04-20,Android
212,4,"Review","too much fees is cut",2026-04-20,Android
213,5,"Review","good company",2026-04-20,Android
214,5,"Review","Good experience",2026-04-20,Android
215,5,"Review","good",2026-04-20,Android
216,4,"Review","good 👍",2026-04-20,Android
217,4,"Review","ok",2026-04-20,Android
218,5,"Review","⭐⭐⭐⭐",2026-04-20,Android
219,5,"Review","very user-friendly UI and easy to sell/buy . it will be helpful for for new person who wants to open a trading account",2026-04-20,Android
220,4,"Review","good",2026-04-20,Android
221,5,"Review","good",2026-04-20,Android
222,5,"Review","nice app",2026-04-20,Android
223,1,"Review","very poor service",2026-04-20,Android
224,5,"Review","Excellant",2026-04-20,Android
225,5,"Review","👍",2026-04-20,Android
226,5,"Review","good",2026-04-20,Android
227,5,"Review","It is very good app.",2026-04-20,Android
228,5,"Review","Good",2026-04-20,Android
229,5,"Review","nice",2026-04-20,Android
230,5,"Review","nice",2026-04-20,Android
231,5,"Review","nice and very easy to handel",2026-04-20,Android
232,5,"Review","Good",2026-04-20,Android
233,5,"Review","very user friendly",2026-04-20,Android
234,5,"Review","nice",2026-04-20,Android
235,5,"Review","very good",2026-04-20,Android
236,1,"Review","its a legal looting... mental harrsament.. distracting youth",2026-04-20,Android
237,5,"Review","nice",2026-04-20,Android
238,5,"Review","great app everything is clean and minimal is it understand",2026-04-20,Android
239,5,"Review","nice aap",2026-04-20,Android
240,5,"Review","very nice day",2026-04-20,Android
241,5,"Review","good",2026-04-20,Android
242,5,"Review","It is too easy to use.",2026-04-20,Android
243,1,"Review","this app is a scam. pls don't use",2026-04-20,Android
244,5,"Review","excellent",2026-04-20,Android
245,5,"Review","thank you for this app",2026-04-20,Android
246,5,"Review","best",2026-04-20,Android
247,5,"Review","good",2026-04-20,Android
248,1,"Review","third class gutter class app always glitches money loosing； if u r an retailer you lost all of your money if u use grow appp",2026-04-20,Android
249,5,"Review","jordar app",2026-04-20,Android
250,4,"Review","super",2026-04-20,Android
